acc,loss,vloss,trainloss
0.111,2.134369134902954,2.1756932735443115,0.4392802195072174
0.121,2.2197585105895996,2.1424777507781982,0.43862720551490786
0.127,2.1907033920288086,2.131194829940796,0.43815466403961184
0.161,2.1439242362976074,2.158889055252075,0.43710069613456726
0.176,2.188086748123169,2.1844778060913086,0.4362079334259033
0.173,2.201107978820801,2.2125391960144043,0.4352318839073181
0.18,2.1042070388793945,2.1995983123779297,0.43421061728000643
0.209,2.101317882537842,2.2179691791534424,0.43359063766002653
0.256,2.1691274642944336,2.153470277786255,0.433599480342865
0.216,2.1300888061523438,2.3208186626434326,0.432020757651329
0.257,2.164484739303589,2.1052143573760986,0.4322666383266449
0.275,2.256038188934326,2.073415756225586,0.43063781361579895
0.283,2.1704862117767334,2.0689334869384766,0.42967751326560977
0.245,2.051815986633301,2.1149351596832275,0.430533967256546
0.286,2.3073105812072754,2.3039321899414062,0.4286899384021759
0.293,2.326965570449829,2.172745943069458,0.428466088104248
0.29,2.279494047164917,2.1765522956848145,0.42731710212230684
0.262,2.11661958694458,2.1949779987335205,0.42736844635009763
0.267,2.1803078651428223,1.92320716381073,0.4265125804901123
0.29,2.072111129760742,2.2393550872802734,0.4233699679374695
0.319,2.0026063919067383,1.9543715715408325,0.42636727225780485
0.306,2.1352901458740234,2.0115997791290283,0.4247735530614853
0.295,1.974170446395874,2.1619248390197754,0.42397494037151334
0.295,2.159193754196167,2.05047869682312,0.4220169147014618
0.264,2.0144920349121094,1.9643088579177856,0.4213196091413498
0.23,2.205825090408325,1.8850948810577393,0.4212467065095902
0.282,1.867699146270752,2.1776833534240723,0.41862974174022677
0.285,2.2591116428375244,2.1559255123138428,0.41957667961120604
0.295,1.979644775390625,2.206606864929199,0.41810265872478486
0.261,1.9316359758377075,2.1047818660736084,0.4153982069730759
0.232,2.0421628952026367,1.8961994647979736,0.41487634537220003
0.283,1.9914686679840088,2.115384101867676,0.4135897942066193
0.287,2.4430198669433594,2.339830160140991,0.40959361565113067
0.245,1.752577781677246,2.134568929672241,0.4042023218154907
0.286,2.1740169525146484,1.5043623447418213,0.402876632142067
0.318,1.4683774709701538,1.8105900287628174,0.3994712251067162
0.301,1.9219975471496582,2.1203911304473877,0.39677117466926576
0.31,2.1840226650238037,1.6041713953018188,0.39027746188640594
0.329,1.9622083902359009,1.9288458824157715,0.396259354031086
0.313,2.049499034881592,1.8892543315887451,0.3875301917314529
0.322,3.0160651206970215,1.7303860187530518,0.3793486378073692
0.33,2.126220941543579,1.8277735710144043,0.3781413574486971
0.323,0.30288854241371155,2.908480167388916,0.37541317428946497
0.334,1.898234248161316,1.682661771774292,0.3721557045280933
0.354,1.961003303527832,1.4835319519042969,0.36241661451160906
0.352,2.142176866531372,2.4823544025421143,0.36894895946383477
0.342,1.2791824340820312,1.4130077362060547,0.37194346473813056
0.348,1.5879695415496826,1.6700243949890137,0.3587405161559582
0.369,2.7831201553344727,1.5189509391784668,0.3635122120976448
0.33,1.4113171100616455,1.7662286758422852,0.3588024938762188
0.347,1.6367912292480469,1.3453646898269653,0.35916987881064416
0.373,1.838861346244812,2.5829429626464844,0.35813348335921763
0.36,1.8486047983169556,1.82719087600708,0.3483287393242121
0.349,2.283296585083008,2.4806971549987793,0.3569169806748629
0.352,5.529787063598633,2.2325243949890137,0.35238757080733774
0.35,0.5116963386535645,1.5440303087234497,0.3561744776904583
