0.0001,0.318,0.279
0.0005,0.52,0.473
0.0008,0.563,0.501
0.001,0.54,0.488
0.0015,0.534,0.105
0.002,0.141,0.106
0.0025,0.143,0.094
0.003,0.14,0.113
0.0035,0.503,0.099
0.004,0.475,0.115
0.0045000000000000005,0.468,0.087
0.005,0.481,0.104
0.0055,0.454,0.111
0.006,0.464,0.116
0.006500000000000001,0.384,0.116
0.007,0.379,0.103
0.0075,0.444,0.115
0.008,0.358,0.122
0.0085,0.382,0.099
0.009,0.282,0.102
0.0095,0.292,0.097
0.01,0.272,0.128
0.0105,0.374,0.102
0.011,0.302,0.114
0.0115,0.369,0.113
0.012,0.343,0.115
0.0125,0.371,0.089
0.013,0.353,0.112
0.0135,0.312,0.106
0.014,0.349,0.115
0.014499999999999999,0.273,0.115
0.015,0.379,0.113
0.0155,0.283,0.104
0.016,0.299,0.101
0.0015,0.379,0.114
0.0015,0.538,0.511
0.0007,0.526,0.494
0.00075,0.54,0.491
0.0008,0.548,0.501
0.00085,0.548,0.473
0.0008,0.549,0.498
0.0008,0.543,0.501
0.0008,0.493,0.465
0.0008,0.516,0.413
0.0008,0.541,0.528
0.0008,0.37,0.108
0.0008,0.541,0.501
